SN,from,to,voltage_kv,length_km,circuit_type,conductor_type,conductor_size,circuit_km
1,HVDC Bheramara,Bangladesh Border (Baharampur),400,27.35,Double,Twin Finch,1113 MCM,54.70
2,Aminbazar,Meghnaghat,400,55.00,Double,Quad Egret,636 MCM,110.00
3,Comilla (N),Bangladesh Border,400,28.00,Double,Twin Finch,1113 MCM,56.00
4,Bibiyana,Kaliakoir,400,169.53,Double,Twin Finch,1113 MCM,339.06
5,Ashuganj(N),Bhulta,400,69.00,Double,Twin Finch,1113 MCM,138.00
6,Payra,Gopalganj (N),400,163.55,Double,Quad ACCC Finch,1113 MCM,327.10
7,BSRM,Mirsarai,400,16.50,Double,Twin ACCC Finch,1113 MCM,33.00
8,HVDC Bheramara,Bangladesh Border (Baharampur) 2nd,400,27.91,Double,Twin Finch,1113 MCM,55.83
9,Payra PP,Payra,400,1.20,Double,,,2.40
10,Banskhali,Madunaghat,400,55.36,Double,LL Quad ACSR Finch,1113 MCM,110.72
11,LILO of Matarbari,Madunaghat,400,3.44,Four,LL Quad ACSR Finch,1113 MCM,13.74
12,Monakosa,Rahanpur,400,29.83,Double,Quad ACSR Finch,1113 MCM,59.65
13,Rampal,Gopalganj,400,96.70,Double,Quad ACCC Finch,1113 MCM,193.40
14,Gopalganj,Aminbazar(With River),400,75.30,Double,Quad ACCC Finch,1113 MCM,150.60
15,Gopalganj,Aminbazar River Crossing,400,7.50,Double,Quad ACCC Finch,1113 MCM,15.00
17,Bogura(West),Rahanpur,400,104.96,Double,Twin ACCC Finch,1113 MCM,209.92
18,Barguna PP,Payra PP,400,27.80,Single,Single ACSR Finch,1113 MCM,27.80
19,Matarbari,Banskhali,400,37.77,Double,LL Quad ACSR Finch,1113 MCM,75.54
20,Madunaghat,Meghnaghat,400,217.20,Single,LL Quad ACSR Finch,1113 MCM,434.40
21,Rooppur,Bogura(West),400,89.92,Single,Quad ACCC Finch,1113 MCM,89.92
1,Ghorasal,Ishurdi,230,175.00,Double,Mallard & AAAC,795 MCM,350.00
2,Tongi,Ghorasal,230,27.00,Double,ACCC Mallard,795 MCM,54.00
3,Ghorasal,Ashuganj,230,44.00,Double,Mallard,795 MCM,88.00
4,Raojan,Hathazari,230,22.50,Double,Twin,300 sq.mm,45.00
5,Ashuganj,Comilla (N),230,79.00,Double,Finch,1113 MCM,158.00
6,Ghorasal,Rampura,230,50.00,Double,Twin Mallard,2x795 MCM,100.00
7,Rampura,Haripur,230,22.00,Double,Twin Mallard,2x795 MCM,44.00
8,Haripur,Meghnaghat,230,12.50,Double,Twin Mallard,2x795 MCM,25.00
9,Meghnaghat,Hasnabad,230,24.50,Double,Twin Mallard,2x795 MCM,49.00
10,Comilla (N),Hathazari,230,151.00,Double,Finch,1113 MCM,302.00
11,AES Haripur,Haripur,230,2.40,Double,Finch,1113 MCM,4.80
12,Comilla (N),Meghnaghat,230,58.00,Double,Twin Mallard,2x795 MCM,116.00
13,Tongi,Aminbazar,230,25.20,Double,Twin AAAC,37/4.176 mm,50.40
14,Aminbazar,Hasnabad,230,21.50,Double,Twin AAAC,37/4.176 mm,43.00
15,Siddhirganj,Haripur,230,1.50,Single,ACSR,600 sq.mm,1.50
16,Ashuganj,Sirajganj,230,144.00,Double,Twin AAAC,37/4.176 mm,288.00
17,Khulna,HVDC Bheramara,230,176.50,Double,Twin AAAC,37/4.176 mm,353.00
18,HVDC Bheramara,Ishurdi,230,10.10,Double,Twin AAAC,37/4.176 mm,20.20
19,Bogura,Barapukuria,230,106.00,Double,Twin AAAC,37/4.176 mm,212.00
20,Sirajganj,Bogura,230,72.50,Double,Twin AAAC,37/4.176 mm,145.00
21,Ishurdi,Baghabari,230,55.00,Double,Twin AAAC,37/4.176 mm,110.00
22,Baghabari,Sirajganj,230,38.00,Double,Twin AAAC,37/4.176 mm,76.00
23,Fenchuganj,Bibiyana,230,33.19,Double,Twin Mallard,2x795 MCM,67.37
