SN,Name of Grid Substation,Transformer Capacity Detail (MVA),Total MVA Capacity,Grid Circle,GMD
1,BIPTC 1st Block,1x500 MW,500 MW HVDC,-,-
2,BIPTC 2nd Block,1x500 MW,500 MW HVDC,-,-
1,Aminbazar,3x520 1x325,1885,Dhaka(N),-
2,Ashuganj (N),2x244/325,650,Cumilla,-
3,Bhulta,2x520,1040,Dhaka(S),-
4,Bibiyana,2x520,1040,Cumilla,-
5,Bogura (W),3x750,2250,Bogura,-
6,Gopalganj (N),2x750,1500,Khulna,-
7,Kaliakoir,2x520,1040,Dhaka(N),-
8,Meghnaghat,2x750,1500,Dhaka(S),-
9,Madunaghat,3x750,2250,Chattogram,-
10,Rampal,2x520,1040,Khulna,-
1,Gopalganj (N),3x325,975,Khulna,-
2,Kaliakoir,2x325 1x300,950,Dhaka(N),-
3,Rahanpur,2x520,1040,Bogura,-
4,Payra,2x325,650,Khulna,-
1,Agargaon,2x300,600,Dhaka(N),Dhaka(N-W)
2,Aminbazar,3x225,675,Dhaka(N),Dhaka(N-W)
3,Ashuganj,1x300 1x150,450,Cumilla,-
4,Baghabari,1x225 1x300,525,HVDC,Ishwardi
5,Barapukuria,2x225 1x225/300,750,Bogura,Dinajpur
6,Barishal (N),2x300,600,Khulna,Barishal
7,Bheramara,2x225,450,HVDC,Jhenaidah
8,Bogura,2x225(7x75) 2x225/300,1050,Bogura,Bogura
9,Cumilla (N),3x225,675,Cumilla,Cumilla
10,Faridpur,2x350,700,Khulna,Faridpur
11,Fenchuganj,2x300,600,Cumilla,Sylhet
12,Ghorasal SW,-,-,Dhaka(S),Narsingdi
13,Ghorasal,2x125,250,Dhaka(S),-
14,Haripur,3x225(10x75),675,Dhaka(S),Dhaka(E)
15,Hasnabad,3x225(10x75),675,Dhaka(S),Dhaka(S)
16,Hathazari,4x150,600,Chattogram,CTG(N)
17,Jhenaidah(S),2x300,600,HVDC,Jhenaidah
18,Ishwardi,3x225,675,HVDC,Ishwardi
19,Keraniganj,3x300,900,Dhaka(S),Dhaka(E)
20,Khulna (S),2x225(7x75) 1x300,750,Khulna,Khulna(S)
21,Maniknagar,2x300,600,Dhaka(S),Dhaka(C)
22,Meghnaghat Switching,-,-,Dhaka(S),Dhaka(E)
23,Rajshahi(N),2x300,600,Bogura,Rajshahi
24,Rampura,1x450 2x225(7x75),900,Dhaka(S),Dhaka(C)
25,Rampur,2x300,600,Chattogram,CTG(C)
26,Siddhirganj,2x300,600,Dhaka(S),Dhaka(E)
27,Sirajganj Switching,-,-,Bogura,Bogura
28,Shyampur,2x225/300,600,Dhaka(S),Dhaka(S)
29,Sripur,2x225/300,600,Dhaka(N),Dhaka(N)
30,Tongi,3x225(10x75),675,Dhaka(N),Dhaka(N)
31,Sikalbaha,2x300,600,Chattogram,CTG(S)
1,AKSPL,2x130/150 1x80,380,Chattogram,CTG(N)
2,BSRM,2x130/140,280,Chattogram,CTG(N)
3,GPH,2x100/125,250,Chattogram,CTG(N)
4,Borhanuddin,1x60 & 1x120/140 (230/33kV),200,Khulna,-
5,Mirsarai,2x125/140,280,Chattogram,CTG(N)
1,Aftabnagar,2x80/120,240,Dhaka(S),-
2,Agargaon,2x80/120,240,Dhaka(N),Dhaka(N-W)
3,Agrabad,2x80/120,240,Chattogram,CTG(C)
4,AKSML,1x50/80,80,Chattogram,CTG(N)
5,Amnura,3x35/50,150,Bogura,Rajshahi
6,Ashuganj,1x25/41 1x50/75,116,Cumilla,Srimangal
7,Bagerhat,2x25/41 1x50/75,157,Khulna,Khulna(S)
8,Bakulia,2x48/64 1x50/75,203,Chattogram,CTG(C)
9,Bangabhaban,2x28/35,70,Dhaka(S),-
10,Bhangura,2x50/75,150,Bogura,Ishwardi
11,Barguna,2x50/75,150,Khulna,Barishal
12,Barapukuria,1x50/75 2x25/41,157,Bogura,Dinajpur
13,Barishal,1x80/120 1x50/75,195,Khulna,Barishal
14,Barishal(N),2x80/120,240,Khulna,Barishal
15,Baroaulia,2x80/120,240,Chattogram,CTG(N)
16,Bashundhara,3x80/120,360,Dhaka(N),-
